股票代码,行业,股票名称,市盈率得分,财务得分,总分
000931.SZ,生物制药,中关村,40.0,56.0,48.0
000932.SZ,普钢,华菱钢铁,32.0,61.0,46.5
000933.SZ,铝,神火股份,40.0,66.0,53.0
000935.SZ,水泥,四川双马,8.0,56.0,32.0
000936.SZ,化纤,华西股份,24.0,46.0,35.0
000937.SZ,煤炭开采,冀中能源,32.0,50.0,41.0
000938.SZ,软件服务,紫光股份,40.0,44.0,42.0
000948.SZ,软件服务,南天信息,40.0,48.0,44.0
000949.SZ,化纤,新乡化纤,32.0,46.0,39.0
000950.SZ,医药商业,重药控股,32.0,45.0,38.5
000951.SZ,汽车整车,中国重汽,40.0,49.0,44.5
000952.SZ,化学制药,广济药业,24.0,41.0,32.5
000953.SZ,化学制药,河化股份,8.0,48.0,28.0
000955.SZ,纺织,欣龙控股,16.0,66.0,41.0
000957.SZ,汽车整车,中通客车,24.0,51.0,37.5
000958.SZ,多元金融,东方能源,24.0,44.0,34.0
000959.SZ,普钢,首钢股份,16.0,65.0,40.5
000960.SZ,小金属,锡业股份,40.0,63.0,51.5
000961.SZ,建筑工程,中南建设,32.0,40.0,36.0
000962.SZ,小金属,东方钽业,24.0,57.0,40.5
000963.SZ,化学制药,华东医药,32.0,52.0,42.0
000965.SZ,区域地产,天保基建,40.0,36.0,38.0
000966.SZ,火力发电,长源电力,8.0,54.0,31.0
000967.SZ,环境保护,盈峰环境,32.0,38.0,35.0
000968.SZ,石油开采,蓝焰控股,16.0,58.0,37.0
000969.SZ,小金属,安泰科技,32.0,49.0,40.5
000970.SZ,元器件,中科三环,32.0,54.0,43.0
000971.SZ,互联网,ST高升,32.0,34.0,33.0
000972.SZ,食品,*ST中基,24.0,32.0,28.0
000973.SZ,塑料,佛塑科技,24.0,26.0,25.0
000975.SZ,黄金,银泰黄金,8.0,44.0,26.0
000976.SZ,运输设备,华铁股份,24.0,34.0,29.0
000977.SZ,IT设备,浪潮信息,40.0,47.0,43.5
000978.SZ,旅游景点,桂林旅游,60.0,44.0,52.0
000980.SZ,汽车配件,*ST众泰,8.0,36.0,22.0
000981.SZ,汽车配件,*ST银亿,24.0,34.0,29.0
000982.SZ,纺织,中银绒业,8.0,38.0,23.0
000983.SZ,煤炭开采,山西焦煤,24.0,42.0,33.0
000985.SZ,化工原料,大庆华科,40.0,66.0,53.0
000987.SZ,多元金融,越秀金控,36.0,39.0,37.5
000988.SZ,电器仪表,华工科技,32.0,54.0,43.0
000989.SZ,中成药,九芝堂,32.0,40.0,36.0
000990.SZ,化工原料,诚志股份,32.0,57.0,44.5
000993.SZ,水力发电,闽东电力,8.0,36.0,22.0
000995.SZ,白酒,皇台酒业,8.0,40.0,24.0
000996.SZ,汽车服务,中国中期,8.0,31.0,19.5
000997.SZ,软件服务,新大陆,32.0,64.0,48.0
000998.SZ,种植业,隆平高科,8.0,46.0,27.0
000999.SZ,中成药,华润三九,32.0,43.0,37.5
001201.SZ,农业综合,东瑞股份,8.0,49.0,28.5
001202.SZ,仓储物流,炬申股份,16.0,44.0,30.0
001203.SZ,普钢,大中矿业,8.0,42.0,25.0
001205.SZ,水运,盛航股份,8.0,27.0,17.5
001206.SZ,造纸,依依股份,16.0,41.0,28.5
001207.SZ,化工原料,联科科技,24.0,33.0,28.5
001208.SZ,电气设备,华菱线缆,24.0,34.0,29.0
